id;título;materia;periodicidad;modified;geo;territorial;por qué;temporal;por qué;vivo;api;tag swagger;formatos;palabras inversión;abierto;explorable;candidato
300;Equipamientos;Urbanismo e Infraestructuras;P1D;2020-07-03;S;sí;geo=S;sí;periodicidad P1D;no (ratio 2255,0);sí;Equipamientos y movilidad: Recursos de la ciudad;api solr sparql-query;equipamiento;sí;sí;no
301;Impresos;Sector Público;P0DT1S;2019-05-08;N;no;;sí;tiempo real;no evaluable (tiempo real);sí;;solr;subvenci;sí;no;no
310;Consumo;Comercio;-;-;N;no;;no;;no evaluable (sin modified);no;;ms-excel text/csv;;sí;no;no
311;Matriculación de Vehículos;Transporte;P1Y;2018-05-03;N;no;;sí;periodicidad P1Y;no (ratio 8,3);no;;ms-excel text/csv;;sí;no;no
312;Catastro;Urbanismo e Infraestructuras;-;-;N;sí;palabra:parcela;no;;no evaluable (sin modified);no;;ms-excel text/csv;;sí;no;no
324;Presupuesto Municipal 2012;Hacienda;P1Y;2012-06-15;N;no;;sí;periodicidad P1Y, palabra:2012;no (ratio 14,2);no;;json ms-excel oasis.opendocument.spreadsheet;ejecución gasto ingreso presupuest;sí;no;no
328;Presupuesto Municipal 2013;Hacienda;-;-;N;no;;sí;palabra:2013;no evaluable (sin modified);no;;json ms-excel oasis.opendocument.spreadsheet;ejecución gasto ingreso presupuest;sí;no;no
335;Líneas paradas y tiempos de Autobus Urbano;Transporte;-;2018-01-28;S;sí;geo=S;no;;no (3142 d, sin periodicidad);sí;Equipamientos y movilidad: Transporte urbano;api;infraestructura;sí;no;no
1281;Aplicaciones Desarrolladas;Ciencia y Tecnología;-;-;N;no;;no;;no evaluable (sin modified);sí;Gobierno abierto: Aplicaciones desarrolladas;api solr;;sí;no;no
1040;Campos de Fútbol;Deporte;P1Y;2022-06-16;S;sí;geo=S;sí;periodicidad P1Y;no (ratio 4,2);sí;;json ms-excel oasis.opendocument.spreadsheet text/csv;equipamiento;sí;sí;no
327;Tranvía de Zaragoza;Transporte;-;2019-05-16;S;sí;geo=S;no;;no (2669 d, sin periodicidad);sí;Equipamientos y movilidad: Transporte urbano;api json;infraestructura;sí;no;no
329;Parquímetros;Transporte;-;2013-04-03;S;sí;geo=S;no;;no (4903 d, sin periodicidad);sí;Equipamientos y movilidad: Parquimetros;api;;sí;no;no
332;Zonas de estacionamiento regulado;Transporte;P0DT1S;2025-07-15;S;sí;geo=S, formato geo, spatialRepresentationTypeCode;sí;tiempo real;no evaluable (tiempo real);no;;json ogc.wfs_xml ogc.wms_xml;;sí;no;no
1100;Subvenciones 2013;Economía;P1Y;2014-07-17;N;no;;sí;periodicidad P1Y, palabra:2013;no (ratio 12,1);no;;json text/csv text/xml;convenio subvenci;sí;no;no
